Carrier Code,Date,Flight_Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),month,org_clouds,org_pres,org_snow,org_temp,org_solar_rad,org_wind_spd,dest_clouds,dest_pres,dest_snow,dest_temp,dest_solar_rad,dest_wind_spd
UA,2022-11-12,604,N804UA,DEN,14:57,15:00,194,190,3,14:54,6,0,0,0,0,0,November,54,826.4,0,0.4,52.7,2.3,99,989.6,0,13.7,26.9,5.7
UA,2022-11-12,1998,N35271,ORD,22:43,22:33,112,107,-10,22:27,6,0,0,0,0,0,November,95,994.1,4.9,1.6,32.6,4.7,99,989.6,0,13.7,26.9,5.7
UA,2021-11-13,2000,N882UA,ORD,20:51,20:46,111,112,-5,20:31,15,0,0,0,0,0,November,83,991.7,0,3.2,58.7,4.2,72,992.2,0,6.4,20.2,4
UA,2022-11-13,604,N898UA,DEN,14:57,14:50,194,189,-7,14:43,7,0,0,0,0,0,November,40,822.2,0,2.5,85.4,3,71,999.8,17,5.3,73,5
UA,2022-11-13,1998,N890UA,ORD,21:04,20:47,114,101,-17,20:42,5,0,0,0,0,0,November,48,1002.7,0,1.2,112.4,3.6,71,999.8,17,5.3,73,5
UA,2021-11-14,2000,N873UA,ORD,20:51,20:47,111,109,-4,20:42,5,0,0,0,0,0,November,70,987.6,0,2.2,53.2,6.1,81,993.5,0,5.7,31.9,4.9
UA,2022-11-14,604,N838UA,DEN,14:57,14:48,194,187,-9,14:43,5,0,0,0,0,0,November,67,827,0,-2.4,77.4,2,81,1011.6,0,1.9,47.4,3.5
UA,2022-11-14,1998,N831UA,ORD,21:04,20:46,114,97,-18,20:41,5,0,0,0,0,0,November,78,1005.1,0,2.4,106.7,3.4,81,1011.6,0,1.9,47.4,3.5
UA,2021-11-15,2000,N828UA,ORD,20:51,21:41,111,117,50,21:35,6,0,0,6,0,44,November,89,997,3.5,0.9,44.3,2.3,81,993.3,0,4,38.6,5
UA,2022-11-15,604,N838UA,DEN,14:57,14:47,194,184,-10,14:43,4,0,0,0,0,0,November,47,831.9,105,-2.3,123.7,2.7,91,1013.2,45,2.3,27.2,3.4
UA,2022-11-15,1998,N876UA,ORD,21:04,20:53,114,95,-11,20:48,5,0,0,0,0,0,November,99,1000,47,2.2,27.9,4.5,91,1013.2,45,2.3,27.2,3.4
UA,2021-11-16,2000,N819UA,ORD,20:51,20:38,111,100,-13,20:33,5,0,0,0,0,0,November,81,993.2,0,6.2,76.5,3.7,48,1003.9,14,2.9,97.6,3.4
UA,2022-11-16,604,N811UA,DEN,14:57,15:37,194,201,40,15:32,5,33,0,7,0,0,November,24,833.7,0,-0.5,128.1,3.2,82,998.2,17,1.9,63.8,5
UA,2022-11-16,1998,N840UA,ORD,21:04,20:54,114,107,-10,20:49,5,0,0,0,0,0,November,86,996.5,12.7,1.4,26.7,4.3,82,998.2,17,1.9,63.8,5
UA,2021-11-17,2000,N819UA,ORD,20:51,20:35,111,100,-16,20:31,4,0,0,0,0,0,November,96,988.9,0,12.1,18.6,5,89,1003.8,0,5.6,31,4.1
UA,2022-11-17,604,N878UA,DEN,14:57,16:04,194,221,67,15:59,5,40,0,27,0,0,November,87,832.6,210,-4.7,51.2,3.7,70,997,0,2.5,74.3,6.7
UA,2022-11-17,1998,N829UA,ORD,21:04,22:03,114,101,59,21:58,5,0,0,0,0,59,November,54,997.2,13.9,0,85.8,4.1,70,997,0,2.5,74.3,6.7
UA,2021-11-18,2000,N847UA,ORD,20:51,20:43,111,104,-8,20:36,7,0,0,0,0,0,November,52,1000.7,0,1.6,58.3,5.7,90,998.1,0,12.3,20.2,4.6
UA,2022-11-18,604,N814UA,DEN,14:57,15:20,194,204,23,15:04,16,10,0,10,0,3,November,49,830.9,0,-9.1,95.7,2.1,56,1000.1,12,1.4,79.2,5.7
UA,2022-11-18,1998,N821UA,ORD,21:04,21:18,114,115,14,21:14,4,0,0,0,0,0,November,82,998.1,55.3,-3.2,41.6,5.1,56,1000.1,12,1.4,79.2,5.7
UA,2021-11-19,2000,N891UA,ORD,20:51,20:55,111,110,4,20:44,11,0,0,0,0,0,November,57,1008.2,0,1.3,55.1,3.2,50,1008.6,0,4.1,91.9,5.9
UA,2022-11-19,604,N896UA,DEN,14:57,15:07,194,196,10,15:00,7,0,0,0,0,0,November,0,831,0,-3.7,124,2.7,55,1002.4,0,-0.1,51.7,5.2
UA,2022-11-19,1998,N462UA,ORD,22:39,22:48,112,103,9,22:43,5,0,0,0,0,0,November,80,996.3,49.2,-5.2,79.1,6,55,1002.4,0,-0.1,51.7,5.2
UA,2021-11-20,2000,N891UA,ORD,20:51,20:46,111,106,-5,20:40,6,0,0,0,0,0,November,80,999.7,0,5.4,65.6,3.8,86,1014.1,0,2.6,25.9,3.3
UA,2022-11-20,604,N814UA,DEN,14:57,14:55,194,192,-2,14:50,5,0,0,0,0,0,November,0,828.7,0,0.7,122.7,2.7,72,1002.9,0,-1.1,72.7,9.2
UA,2022-11-20,1998,N804UA,ORD,21:04,20:58,114,111,-6,20:53,5,0,0,0,0,0,November,17,1003.1,0.3,-4.4,103.1,5,72,1002.9,0,-1.1,72.7,9.2
UA,2021-11-21,2000,N846UA,ORD,20:51,20:26,111,94,-25,20:21,5,0,0,0,0,0,November,47,995.5,0,6.2,89.6,4.1,89,1004.3,0,6.8,28.9,4
UA,2022-11-21,604,N877UA,DEN,14:57,14:44,194,189,-13,14:39,5,0,0,0,0,0,November,17,829.7,0,3.5,121.4,2.4,63,1007,0,-0.7,58.4,6.2
UA,2022-11-21,1998,N822UA,ORD,21:07,20:47,114,101,-20,20:42,5,0,0,0,0,0,November,24,998.6,0,2.8,108.6,4,63,1007,0,-0.7,58.4,6.2
UA,2021-11-22,2000,N419UA,ORD,20:51,23:25,111,95,154,23:19,6,10,0,0,0,144,November,7,1000.5,0,-0.5,107,5,63,996.8,0,5.5,81.8,6.6
UA,2022-11-22,604,N841UA,DEN,14:57,14:58,194,189,1,14:54,4,0,0,0,0,0,November,38,828.3,0,4.8,118.3,2.9,53,1008,0,5.3,66.8,4.2
UA,2022-11-22,1998,N833UA,ORD,21:07,20:50,114,103,-17,20:46,4,0,0,0,0,0,November,14,1000.2,0,5.6,107.1,2.5,53,1008,0,5.3,66.8,4.2
UA,2021-11-23,2000,N810UA,ORD,20:51,20:48,111,111,-3,20:42,6,0,0,0,0,0,November,17,999.5,0,1.6,100,4.2,57,1003.5,0,-0.4,86.2,3.7
UA,2022-11-23,604,N836UA,DEN,14:57,15:02,194,196,5,14:56,6,0,0,0,0,0,November,62,823,0,5,49.7,4.5,41,1008.2,0,3.9,69.8,2.6
UA,2022-11-23,1998,N830UA,ORD,21:07,20:51,114,105,-16,20:47,4,0,0,0,0,0,November,28,998.5,0,8.2,106.2,3.2,41,1008.2,0,3.9,69.8,2.6
UA,2021-11-24,2000,N810UA,ORD,20:51,20:40,111,104,-11,20:35,5,0,0,0,0,0,November,88,992.8,0,7.2,28.2,7,38,1009.7,0,-0.8,83.4,1.9
UA,2022-11-24,451,N890UA,ORD,13:34,13:06,109,90,-28,13:02,4,0,0,0,0,0,November,95,997.8,0,8.2,30.2,3,52,1008.4,0,2.2,52.7,2.3
UA,2021-11-25,479,N54711,ORD,17:49,17:39,109,100,-10,17:33,6,0,0,0,0,0,November,90,996.7,0,3.9,21.4,4.8,97,999.5,0,3.7,23.4,2.2
UA,2022-11-25,604,N848UA,DEN,14:57,15:01,194,200,4,14:55,6,0,0,0,0,0,November,6,832.2,0,6.2,116.8,2.1,84,996.8,0,7.7,48.1,6
UA,2022-11-25,1998,N489UA,ORD,21:07,20:59,114,115,-8,20:54,5,0,0,0,0,0,November,11,999.5,0,6.6,103.9,3.5,84,996.8,0,7.7,48.1,6
UA,2021-11-26,2000,N897UA,ORD,20:51,20:54,111,119,3,20:49,5,0,0,0,0,0,November,54,1000,0,-3.6,92.7,3.4,98,990.4,51,4.3,32.3,6.6
UA,2022-11-26,604,N848UA,DEN,14:57,14:44,194,188,-13,14:40,4,0,0,0,0,0,November,35,822.1,0,7.1,113,3.6,32,999.7,0,6.9,95.5,4.5
UA,2022-11-26,1998,N492UA,ORD,22:39,22:19,112,101,-20,22:14,5,0,0,0,0,0,November,35,993.2,0,7.4,102.2,3.5,32,999.7,0,6.9,95.5,4.5
UA,2021-11-27,2000,N853UA,ORD,20:51,20:35,111,103,-16,20:30,5,0,0,0,0,0,November,75,989.9,0,1.5,31.7,3.8,83,997,0,-0.2,55.2,5.5
UA,2021-11-27,2044,N13750,EWR,23:17,23:09,77,72,-8,23:03,6,0,0,0,0,0,November,57,1010.1,0,3.7,96.6,7.1,83,997,0,-0.2,55.2,5.5
UA,2022-11-27,604,N881UA,DEN,14:57,14:58,194,191,1,14:54,4,0,0,0,0,0,November,47,820,0,4.6,106.3,3.8,95,987.2,0,3.7,30.5,3.1
